buildingRoute,BMSPointName,Master,Controller,PointName,System,System display name,Description,Units,Sample
Rudin345Park\\BCX9th\\FloorDamper33rd,SpaceTempNE,BCX9th,FloorDamper33rd,SpaceTemp-33^NE,S6,,Space Temperature North East,Fahrenheit,-327.7
Rudin345Park\\BCX9th\\FloorDamper22nd1,SpaceTempNE,BCX9th,FloorDamper22nd1,SpaceTemp-22^NE,S6,,Space Temperature North East,Fahrenheit,75.1
Rudin345Park\\BCX9th\\FloorDamper22nd1,SpaceTempNW,BCX9th,FloorDamper22nd1,SpaceTemp-22^NW,S4,,Space Temperature North West,Fahrenheit,75.3
Rudin345Park\\BCX9th\\FloorDamper33rd,SpaceTempNW,BCX9th,FloorDamper33rd,SpaceTemp-33^NW,S4,,Space Temperature North West,Fahrenheit,-327.7
Rudin345Park\\BCX9th\\FloorDamper24th,SpaceTempNW,BCX9th,FloorDamper24th,SpaceTemp-24^NW,S4,,Space Temperature North West,Fahrenheit,73
Rudin345Park\\BCX9th\\FloorDamper20th,SpaceTempNW,BCX9th,FloorDamper20th,SpaceTemp-20^NW,S4,,Space Temperature North West,Fahrenheit,73
Rudin345Park\\BCX9th\\FloorDamper18th,SpaceTempNW,BCX9th,FloorDamper18th,SpaceTemp-18^NW,S9,,Space Temperature North West,Fahrenheit,74.1
Rudin345Park\\BCX9th\\FloorDamper13th1,SpaceTempNW,BCX9th,FloorDamper13th1,SpaceTemp-13^NW,S9,,Space Temperature North West,Fahrenheit,73.4
Rudin345Park\\BCX34th\\FloorDamper36th,SpaceTempNW,BCX34th,FloorDamper36th,SpaceTemp-36^NW,S3,,Space Temperature North West,Fahrenheit,72.2
Rudin345Park\\BCX34th\\FloorDamper40th,SpaceTempNW,BCX34th,FloorDamper40th,SpaceTemp-40^NW,S3,,Space Temperature North West,Fahrenheit,74.2
Rudin345Park\\BCX34th\\FloorDamper38th,SpaceTempNW,BCX34th,FloorDamper38th,SpaceTemp-38^NW,S3,,Space Temperature North West,Fahrenheit,73.5
Rudin345Park\\BCX34th\\FloorDamper35th,SpaceTempNW,BCX34th,FloorDamper35th,SpaceTemp-35^NW,S3,,Space Temperature North West,Fahrenheit,75.8
Rudin345Park\\BCXCellar\\FloorDamper2nd,SpaceTempNW,BCXCellar,FloorDamper2nd,SpaceTemp-2^NW,S10,,Space Temperature North West,Fahrenheit,73.7
Rudin345Park\\BCXCellar\\FloorDamper5th2,SpaceTempNW,BCXCellar,FloorDamper5th2,SpaceTemp-5^NW,S10,,Space Temperature North West,Fahrenheit,74.1
Rudin345Park\\BCXCellar\\FloorDamper4th2,SpaceTempNW,BCXCellar,FloorDamper4th2,SpaceTemp-4^NW,S10,,Space Temperature North West,Fahrenheit,74.4
Rudin345Park\\BCX9th\\FloorDamper32nd2,SpaceTempNW,BCX9th,FloorDamper32nd2,SpaceTemp-32^NW,S4,,Space Temperature North West,Fahrenheit,-327.7
Rudin345Park\\BCXCellar\\FloorDamper4th1,SpaceTempS,BCXCellar,FloorDamper4th1,SpaceTemp-4^S,S7,,Space Temperature South,Fahrenheit,71.6
Rudin345Park\\BCXCellar\\FloorDamper2nd,SpaceTempS,BCXCellar,FloorDamper2nd,SpaceTemp-2^S,S7,,Space Temperature South,Fahrenheit,70.1
Rudin345Park\\BCX34th\\FloorDamper38th,SpaceTempS,BCX34th,FloorDamper38th,SpaceTemp-38^S,S1,,Space Temperature South,Fahrenheit,75.8
Rudin345Park\\BCX9th\\FloorDamper13th2,SpaceTempS,BCX9th,FloorDamper13th2,SpaceTemp-13^S,S7,,Space Temperature South,Fahrenheit,76.1
Rudin345Park\\BCX9th\\FloorDamper20th,SpaceTempS,BCX9th,FloorDamper20th,SpaceTemp-20^S,S1,,Space Temperature South,Fahrenheit,73.9
